Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
RAMCOCEM,80,2.16272682,0.915210248,0.293850392,23.006247,0.612769201,10,9.06135021,32.66117302,0.124347959,36.2184244,0.250186207
FINPIPE,72.72727273,3.694863697,2.385923498,0.29485377,19.05004657,0.476508969,11,15.83140616,35.38459006,0.306105176,11.48104396,1.378916953
AIAENG,75,2.460012411,2.604866449,0.294948617,24.89318866,0.674462856,8,10.65739597,27.72301753,0.204068549,11.3299928,0.940635723
CARERATING,35.29411765,0.517671857,0.75647187,0.294993915,1.149646758,-0.130523141,17,-7.136405037,36.08777785,-0.336302365,73.45343001,-0.097155504
DRREDDY,83.33333333,2.167914997,2.783119977,0.295567061,18.20143379,0.446647666,6,9.090738939,22.7298335,0.179972235,1.363229029,6.668533862
TATAPOWER,81.81818182,4.830349507,4.983908116,0.295580843,8.547693282,0.120024466,11,19.37496335,37.69159491,0.381383791,11.47562798,1.688357569
GAIL,77.77777778,1.800332611,1.857798165,0.296529656,11.08324187,0.205147841,9,6.835199485,34.62681579,0.052999372,43.15337683,0.158393155
JKCEMENT,75,3.703715594,3.970087324,0.2968436,12.94100015,0.267514615,16,15.86257794,30.0567771,0.361401953,27.46531486,0.577549466
TIMKEN,73.33333333,4.328228196,5.617249688,0.297369613,19.38095838,0.483605512,15,17.91062695,34.27844044,0.376639858,10.18764903,1.758072632
SHREECEM,63.15789474,1.412499783,1.468447172,0.2980012,43.53213812,1.293019563,19,3.959974501,16.75988025,-0.062054471,26.52716731,0.149279961
TORNTPHARM,85.71428571,2.454864211,4.007768747,0.298099836,29.9775632,0.837892551,14,10.62633157,14.8947467,0.377739325,10.18203765,1.04363507
FINCABLES,70.58823529,7.415092729,1.999651738,0.298465335,17.8365989,0.430086761,17,25.26923793,44.1267453,0.459341331,34.96247231,0.722753177
VTL,53.84615385,1.762687258,1.82878198,0.298584313,24.50568427,0.653272239,13,6.587698935,42.99241615,0.036929744,41.70482392,0.157960119
LUPIN,81.81818182,1.179641455,2.005065535,0.299098579,31.2102362,0.876307614,11,1.875153482,21.56787784,-0.144884283,42.94951404,0.043659481
WHIRLPOOL,62.5,1.095471919,0.952981095,0.299783017,28.3722399,0.779638558,8,1.03065126,10.81815561,-0.366915478,27.4831415,0.037501217
GLENMARK,76.92307692,0.633821018,2.080421769,0.30020267,46.49660035,1.382286183,13,-4.998341295,38.66895133,-0.258562515,73.45910241,-0.068042504
GODREJIND,69.23076923,2.723542733,1.403557365,0.300892782,37.84928687,1.091727313,13,11.92594058,30.63482011,0.226080668,19.34777882,0.616398435
APOLLOHOSP,69.23076923,4.119982234,5.21761069,0.301471299,19.95252474,0.495985018,13,17.25864137,40.3226739,0.304013603,19.24608648,0.896735105
ASTRAL,87.5,7.31074577,4.85005821,0.301548052,50.00719081,1.492537942,16,25.06976033,37.03365089,0.541933076,10.18038577,2.462555045
CONCOR,85.71428571,2.994416044,2.089719936,0.302010224,19.09132931,0.466584512,7,13.12568048,31.1050756,0.261233266,10.19032217,1.288053534
HAVELLS,80,3.162180783,3.519544243,0.302897741,45.07568163,1.32307628,10,13.82126381,30.90854964,0.285398827,10.17489538,1.358369133
APLLTD,28.57142857,0.704882671,1.747350526,0.303043603,43.69541357,1.276892607,7,-3.856313957,10.820375,-0.818484938,35.74303586,-0.107889939
KAJARIACER,61.9047619,1.036582198,2.191756337,0.30330709,37.03694173,1.056254297,21,0.404837623,24.13016593,-0.190432274,47.73052229,0.008481735
THOMASCOOK,60,3.202586393,2.08314327,0.303435141,14.21805539,0.303789975,20,13.98388874,42.98854945,0.208983296,21.6354123,0.646342605
BHARTIARTL,87.5,2.32885468,3.867049284,0.304412177,19.39872953,0.473001103,8,9.972750692,22.40933452,0.221905326,10.19308509,0.978383935
JKLAKSHMI,62.5,1.779401861,1.807732284,0.304536206,15.60540433,0.348247733,16,6.694802928,37.04744596,0.045746822,42.21436934,0.158590618
LICHSGFIN,77.77777778,3.10932391,1.122518338,0.304577098,22.90134173,0.587744181,9,13.60571752,34.36557932,0.250416774,10.20094082,1.333770852
TTKPRESTIG,73.33333333,1.808914509,1.257347932,0.304674586,44.99099325,1.31258054,15,6.892345599,15.56322436,0.121590845,19.32283104,0.356694399
GSPL,77.77777778,1.401783282,1.534381646,0.305312635,12.37968407,0.241709095,9,3.870981428,10.96197681,-0.102994067,10.18976109,0.379889321
GESHIP,50,1.733481331,3.07758765,0.305572588,16.04964564,0.36160461,18,6.381574197,35.26942121,0.039172012,34.92352531,0.182729955
EICHERMOT,77.77777778,4.270786441,1.523719913,0.306301407,32.44036234,0.895861452,9,17.73361568,36.03560589,0.353362053,10.11963454,1.752396849
ATUL,75,2.470592282,2.065809303,0.306977754,33.3573421,0.923758863,8,10.70580713,29.73122962,0.191912921,19.04716608,0.56206824
EMAMILTD,80,2.512719256,1.109948176,0.307130353,20.2630472,0.496956652,10,10.91648774,22.11729555,0.267505027,10.18584788,1.071730883
PERSISTENT,76.47058824,3.180887549,10.42288024,0.309213144,13.97148092,0.290139054,17,13.89678289,29.42523561,0.302352138,19.3199474,0.719297139
TRENT,90.90909091,8.145918179,13.36570065,0.309469904,23.23398431,0.589200568,22,26.60038458,34.74401662,0.621700848,10.18912774,2.610663568
